,Unnamed: 0,Unnamed: 0.1,in_amount_mmol,p_amount_mmol,sol_amount_ml,TOP_amount_mmol,acid_amount_mmol,amine_amount_mmol,thiol_amount_mmol,zinc_amount_mmol,other_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_4-ethylpyridine,x2_None,x2_dimethylformamide,x2_mesitylene,x2_octadecene,x2_toluene,x3_None,x3_trioctylphosphine,x4_None,x4_lauric acid,x4_myristic acid,x4_oleic acid,x4_palmitic acid,x4_stearic acid,x5_None,x5_dioctylamine,x5_dodecylamine,x5_hexadecylamine,x5_octylamine,x5_oleylamine,x6_None,x6_dodecanethiol,x7_None,x7_zinc acetate,x7_zinc bromide,x7_zinc chloride,x7_zinc iodide,x7_zinc octanoate,x7_zinc oleate,x7_zinc stearate,x7_zinc undecylenate,x8_None,x8_acetic acid,x8_copper bromide,x8_oleic acid,x8_superhydride,x8_tetrabutylammonium myristate,x8_trioctylamine,x8_trioctylphosphine oxide,x8_water,x8_zinc iodide,diameter_nm,abs_nm,emission_nm,
0,0,0,2.798292886,0.769562787,-0.528015198,1.951881111,-0.431076632,-0.641826903,-0.197117053,-0.629015021,8.009708158,0.412626349,1.175039865,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,599,612,13
1,1,1,0.055435832,-0.361431827,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.6,530,613,83
2,2,2,0.782458183,0.017998624,-0.528015198,0.600490514,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.098138874,-0.500810603,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5,595,610,15
4,4,4,0.055435832,0.280681244,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.52,520,612,92
5,5,5,0.055435832,0.280681244,-0.528015198,1.958217168,-0.431076632,-0.641826903,-0.197117053,-0.629015021,3.87305151,0.063283859,0.975942201,7.207881521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.66,590,612,22
6,6,6,0.195883331,0.280681244,-0.528015198,-0.30466059,-0.431076632,-0.641826903,-0.197117053,-0.629015021,-0.098138874,-0.652556049,0.975942201,3.449768678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.61,610,635,25
7,7,7,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.577746873,-0.099560119,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,562,618,56
8,8,8,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,-0.218643781,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,473,558,85
9,9,9,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.179551546,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,524,567.6666667,43.66666667
10,10,10,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.577746873,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,538,591.3333333,53.33333333
11,11,11,-0.258505638,-0.376025306,1.691836289,-0.30466059,0.144142814,-0.641826903,-0.197117053,-0.629015021,1.970189451,1.534571383,0.975942201,-0.256148154,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,None,576,608.6666667,32.66666667
